date,country_name,effective tariff,total imports,2024 tariff
2025-03-06,BANGLADESH,0.0,8444238245.0,15.06031083091498
2025-03-06,CAMBODIA,0.0,12728558279.0,7.049896660177754
2025-03-06,HONG KONG,20.000000000000004,5895965378.0,0.9899008942246879
2025-03-06,NORWAY,0.0,6521465715.0,0.575496378270847
2025-03-06,DOMINICAN REPUBLIC,0.0,7502813278.0,0.3628772433912622
2025-03-06,ARGENTINA,0.0,7735341905.0,1.041774881959791
2025-03-06,NIGERIA,0.0,6108389412.0,0.07629877019372974
2025-03-06,HONDURAS,0.0,5523842740.0,0.47036196037688066
2025-03-06,NEW ZEALAND,0.0,5580064221.0,1.1250411019239057
2025-03-06,SLOVAKIA,0.0,8141337864.0,2.4215965888330806
2025-03-06,UNITED ARAB EMIRATES,0.0,7188011875.0,2.269413320912189
2025-03-06,GUATEMALA,0.0,5024213301.0,0.8735477052947678
2025-03-06,PAKISTAN,0.0,5107479031.0,9.589125790382516
2025-03-06,TRINIDAD AND TOBAGO,0.0,3247910632.0,0.014215538920653406
2025-03-06,NICARAGUA,0.0,4640059191.0,1.3320080942045034
2025-03-06,KUWAIT,0.0,1704495990.0,0.10505457393302521
2025-03-06,ALGERIA,0.0,2712545770.0,0.09615856177792716
2025-03-06,SRI LANKA,0.0,3118528089.0,10.121829240961503
2025-03-06,ANGOLA,0.0,1662167957.0,0.06470561506558992
2025-03-06,EL SALVADOR,0.0,2301947103.0,0.9205991298575901
2025-03-06,EGYPT,0.0,2559338157.0,1.8207506840214704
2025-03-06,EUROPEAN UNION,0.0,597473236377.0,1.2290777517549552
2025-03-12,CHINA,20.293654748549404,429425828419.0,10.865954673194842
2025-03-12,MEXICO,5.51501639167196,503438605302.0,0.24839859514743334
2025-03-12,CANADA,9.268592869341228,411693824741.0,0.10047192820058021
2025-03-12,JAPAN,0.9717917296094675,151340030810.0,1.5080061314809772
2025-03-12,"KOREA, SOUTH",1.3586004039861044,130458735626.0,0.19074987796402115
2025-03-12,VIETNAM,0.5729274506575289,141361159091.0,3.7743449688081196
2025-03-12,TAIWAN,1.2621566780902997,115274122243.0,0.9381444681229574
2025-03-12,INDIA,0.8695212196669246,87735219365.0,2.4006631752267915
2025-03-12,UNITED KINGDOM,0.8338850406953109,68205970097.0,0.9568484123484455
2025-03-12,SWITZERLAND,0.28778877644209067,60919464587.0,0.5962607476322337
2025-03-12,MALAYSIA,0.7395300217193486,51626608290.0,0.6439635839187916
2025-03-12,THAILAND,0.9113097064951865,63282378964.0,1.5883308441545774
2025-03-12,BRAZIL,0.20431003400854905,42749059621.0,1.283186909521001
2025-03-12,SINGAPORE,0.28338788473863347,42642848286.0,0.07770426304023081
2025-03-12,INDONESIA,0.24401592654442628,28106070973.0,4.851827159726428
2025-03-12,ISRAEL,0.6898834281326098,22708195633.0,0.13020833745606475
2025-03-12,SAUDI ARABIA,0.04106931832160995,12571913684.0,0.35979392745566674
2025-03-12,RUSSIA,0.02208492042241025,2931845520.0,0.6264000226041924
2025-03-12,COLOMBIA,1.0645000408368934,18310770810.0,0.14149871280050172
2025-03-12,AUSTRALIA,0.5336434787123797,16680584707.0,0.11548436303864154
2025-03-12,PHILIPPINES,0.4681154828290823,13930354398.0,1.3606079686473171
2025-03-12,CHILE,0.04158989661665967,16426746171.0,0.02893202920728323
2025-03-12,TURKEY,1.6335723025260729,16577520954.0,3.317861883729277
2025-03-12,SOUTH AFRICA,0.11593759772155054,14590861017.0,0.25969666187520785
2025-03-12,VENEZUELA,0.00020213930929071367,5684940767.0,0.14196309743186458
2025-03-12,IRAQ,5.5624428274434994e-05,7595583687.0,0.09413180467272231
2025-03-12,ECUADOR,0.016846572972846186,8723106488.0,0.4318083133780035
2025-03-12,COSTA RICA,0.12729636503792086,11441670778.0,0.10851728074429305
2025-03-12,PERU,0.05723395651626935,9605440694.0,0.10234642337795896
2025-03-12,BANGLADESH,0.010270358022092968,8444238245.0,15.06031083091498
2025-03-12,CAMBODIA,0.20570760588965203,12728558279.0,7.049896660177754
2025-03-12,HONG KONG,20.026257024096118,5895965378.0,0.9899008942246879
2025-03-12,NORWAY,0.5850611682622333,6521465715.0,0.575496378270847
