exports,description,hs-code,tariff,export_share,color
204684.0,"FLT-CLD-RLD,NOT COIL 600MM W,>0.5MMBUT N/O 1MM THK",720927,25.0,2.5219234748932564,#ff0000
315698.0,"FLT-CLD-RLD IR,NONAL,NOTCOIL,600MM WIDE,>0.5MM THK",720928,25.0,46.145570684148595,#ff0000
1802147.0,FR IOS NA CLS OR NT 600MM AO W CR PL NESOI,720990,25.0,51.45699650994692,#ff0000
8829334.0,FR IOS NA 600MM AO W TIN COATD OR PLTD 0.5MM AO TH,721011,25.0,37.1248561460988,#ff0000
10879894.0,FR IOS NAL 600MM AO W TIN CTD OR PLTD UNDR 0.5MM T,721012,25.0,27.446259360041342,#ff0000
298668.0,FR IOS NA 600MM AO W LEAD CTD OR PLTD (TERNPLATE),721020,25.0,4.644404517948729,#ff0000
22999622.0,"FLAT-RLD IRON,NONAL STL,600MM WIDE,ELEC PLATD ZINC",721030,25.0,24.41306886596226,#ff0000
257245.0,FR IOS NA 600MM AO W ZINC CTD O PLTD NT ELCTC CORR,721041,25.0,8.177582719962972,#ff0000
502352654.0,FR IR/NAS CTD/PLTD W ZINC NT ELEC NT CORR 600MM OM,721049,25.0,40.243613803624875,#ff0000
695554.0,FR IOS NA 600MM AO W CTD/PLTD W CRO OR CR AND CRO,721050,25.0,27.085763106953394,#ff0000
23751221.0,"FR IRON/NONALLOY STEEL 600MM AO,PLTD/CTD ALUM-ZNC",721061,25.0,64.93996752184242,#ff0000
81087998.0,"FR IRON/NONALLOY STEEL,600MM AO,PLTD/CTD OTHR ALUM",721069,25.0,77.41711233285525,#ff0000
57676279.0,"FR IR/NAS 600MM W OM, PAINTED, VARNISHED, PLASTIC",721070,25.0,39.576388534504794,#ff0000
26677557.0,FLAT-ROLL IRON OR NONALLOY STEEL NU600MMCLAD NESOI,721090,25.0,50.73225441733368,#ff0000
1232360.0,FR HS IOS NA UN600MM W HR PL UNVRSL MLLPLTE,721113,25.0,7.377713600841005,#ff0000
29662550.0,FR HS IOS NA UN600MM W HR PL 4.75MM AO THCK,721114,25.0,47.14859525716052,#ff0000
104288598.0,OTH FR HI-STR ST UN 600MM W NPLD UN4.75MM THCK,721119,25.0,78.94841836613958,#ff0000
51142066.0,"FLAT-COLD-ROLLED IRON,NONALLOY STEEL, <600 MM WIDE",721123,25.0,46.002738914374724,#ff0000
38532399.0,"FLAT-ROLLED IRON/NONALLOY STEEL UNDR 600 MM, NESOI",721129,25.0,56.43590724219331,#ff0000
14398252.0,"FR IOS NA UN 600MM W, NESOI MR THN C-R",721190,25.0,48.96147749945277,#ff0000
2928728.0,FR IOS NA UNDR 600MM WIDE TIN COATD O PLATED,721210,25.0,21.484115902641875,#ff0000
3042864.0,"FLAT-RLD IRN,NONAL ST, < 600MM WIDE ELEC PLTD ZINC",721220,25.0,22.99961489229267,#ff0000
80597516.0,FLAT-RLD IR/NAS UN 600MM W PLTD/CTD W ZINC NT ELEC,721230,25.0,46.85154456776889,#ff0000
12302730.0,FLAT-RLD IR/NAS UN 600MM W PNTD/VARNSHD/PLSTC CTD,721240,25.0,39.21434067048272,#ff0000
25778172.0,"FR IOS NA UNDR 600MM WIDE PLTD OR COATD, NESOI",721250,25.0,33.71846748194145,#ff0000
511112.0,FR IOS UN 600MM WD CLAD NESOI,721260,25.0,3.1831775724216618,#ff0000
17284693.0,BARS AND RODS IRREGULAR COILS CONCRETE REINFORCING,721310,25.0,35.31460178989063,#ff0000
8926747.0,BRS RODS HOT-RLLD IRREG COILS FREE-CUTTNG STEEL,721320,25.0,75.75549943060834,#ff0000
16597945.0,"BARS,RODSHOT-ROLL,IRNNOAL ST COIL CIRC,<14MM NESOI",721391,25.0,56.61636839278942,#ff0000
7809907.0,"BARS,RODS,HOT-ROLLED,IRON OR NONAL STL,COILS,NESOI",721399,25.0,48.91933337626092,#ff0000
3453810.0,"OTHER BARS AND RODS IRON OR NONALLOY STEEL, FORGED",721410,25.0,14.902635862106878,#ff0000
122083770.0,"OTH BRS RDS IOS NA HOT-WRKD, CONC REINFRCNG",721420,25.0,90.1333450948007,#ff0000
8609197.0,"OTHER BARS AND RODS FREE-CUTTING STEEL, HOT-WORKED",721430,25.0,57.7979685979389,#ff0000
19078922.0,"BARS,RODS,HOT-ROLLED,-DRAWN,-EXT,RECTANGULAR,NESOI",721491,25.0,38.686372579820805,#ff0000
40816290.0,"BARS,RODS,IRN,NOAL,HOT-ROLLED,-DRAWN-EXTRUDE,NESOI",721499,25.0,30.31863465675655,#ff0000
9338640.0,OTH BRS AND RDS FREE-CTTNG STL COLD-FMD OR FNSHD,721510,25.0,51.55278457320471,#ff0000
30963487.0,"BARS,RODS,IRN,NOAL,COLD-FORMED,COLD-FINISHED,NESOI",721550,25.0,47.556561475853044,#ff0000
27602327.0,"BARS AND RODS IRON OR NONALLOY STEEL, NESOI",721590,25.0,57.39040785650032,#ff0000
4490200.0,U-I-H-SECTIONS IR/NAS HOT/WRKD LS THN 80MM HIGH,721610,25.0,27.484920999368427,#ff0000
21295063.0,L SEC IOS NA HOT-WKD LSS TH 80MM HIGH,721621,25.0,46.20273945092823,#ff0000
198747.0,T SEC IOS NA HOT-WKD LSS TH 80MM HIGH,721622,25.0,8.800247960414891,#ff0000
27660354.0,U SEC IOS NA HOT-WKD 80MM OR MORE HIGH,721631,25.0,53.50715572638593,#ff0000
15785952.0,I SEC IOS NA HOT-WKD 80MM AO HIGH (STANDARD BEAMS),721632,25.0,25.526583601796375,#ff0000
221788361.0,"H SECTIONS IRN/NAS, HOT-WRKD, 80MM HI OR MORE",721633,25.0,95.25249370522127,#ff0000
15088703.0,"L OR T SECTIONS IR/NAS HOT-WRKD, 80MM HI OR MORE",721640,25.0,42.643704538793706,#ff0000
1344888.0,OTH ANGLS SHPS SEC IOS NA HOT-WKD,721650,25.0,24.049969447736316,#ff0000
2857117.0,ANGLES SHAPES SECTIONS IRON/NONALLOY STEEL NESOI,721699,25.0,28.74138510500738,#ff0000
19212735.0,"WIRE OF IRON OR NONALLOY STL,NOT PLATED OR COATED",721710,25.0,32.158600107941105,#ff0000
9168102.0,"WIRE OF IRON,NONALY STL,PLATED OR COATED WITH ZINC",721720,25.0,52.142431199117546,#ff0000
9536363.0,"WIRE OF IRN,NOAL ST, PLTED OR CTD BASE METAL,NESOI",721730,25.0,37.005611088160265,#ff0000
24168726.0,"WIRE IRON/NONALLOY STEEL UNDER 0.25% CARBON, NESOI",721790,25.0,53.61987274537016,#ff0000
13518603.0,STAINLESS STEEL INGOTS AND OTHER PRIMARY FORMS,721810,25.0,19.40242423897967,#ff0000
694831.0,"SMFNSHED PRDCTS,STAINLESS STEEL,RECTNGULR (NT SQR)",721891,25.0,12.354560786332353,#ff0000
2869698.0,OTHER SEMIFINISHED PRODUCTS OF STAINLESS STEEL,721899,25.0,18.684804250218072,#ff0000
661545.0,FR SS 600MM AO W HR CLS OV 10MM THCK,721911,25.0,5.539647655481638,#ff0000
10791742.0,FR SS 600MM AO W HR CLS 4.75-NOV 10MM THCK,721912,25.0,10.866135912914174,#ff0000
952932.0,FR SS 600MM AO W HR CLS 3-UN 4.75MM THCK,721913,25.0,0.5454535369985812,#ff0000
5343438.0,FR SS 600MM AO W HR CLS UN 3MM THCK,721914,25.0,13.354163420868783,#ff0000
37788197.0,FR SS 600MM AO W HR NT CLD OV 10MM THCK,721921,25.0,34.50324610321842,#ff0000
43900473.0,FR SS 600MM AO W HR NT CLD 4.75-NOV 10MM THCK,721922,25.0,49.913595267432626,#ff0000
2710084.0,FR SS 600MM AO W HR NT CLD 3-UN 4.75MM THCK,721923,25.0,29.23622145524769,#ff0000
1609229.0,FR SS 600MM AO W HR NT CLD UNDR 3MM THCK,721924,25.0,13.56865686630215,#ff0000
6020208.0,FLT-RLD STNLS STL 600MM OM W CLD/RLD 4.75MM OM THK,721931,25.0,48.50352069413391,#ff0000
