country_name,total imports,2024 tariff,effective tariff,expempt imports,steel imports,alu imports,auto imports
EUROPEAN UNION,597906784683.0,1.2310300355434778,12.16539579486697,19189814054.0,4075410635.0,11809647077.0,69288585685.0
MEXICO,503806119292.0,0.2505656977279286,6.142319445862949,8205315086.0,3622743519.0,21399351504.0,149979172522.0
CHINA,429753399481.0,10.884030911561867,28.188161446133194,4015373708.0,7419241338.0,17860573753.0,32699634151.0
CANADA,412555790905.0,0.10117925943648196,8.103414081969156,90530905516.0,2654084614.0,10508257908.0,50990178340.0
JAPAN,151290260357.0,1.5038067220133073,16.242467197864812,824272804.0,694811056.0,5180005371.0,55885071029.0
VIETNAM,141407132644.0,3.7749854743458724,8.14722461023527,232904515.0,493795767.0,2746060850.0,3917910374.0
"KOREA, SOUTH",130471361727.0,0.21391968651634122,15.57782150482759,3593028538.0,1502899745.0,5591276568.0,49491063359.0
TAIWAN,115284322157.0,0.9395198971851123,5.939463977265739,472568240.0,2162535337.0,3661916147.0,3217101173.0
INDIA,87793999313.0,2.4042181236952165,10.502201486889906,2102493500.0,1502742206.0,1556728755.0,2832788361.0
UNITED KINGDOM,68124315671.0,0.9629486175950757,13.577348044374457,1285548459.0,349495364.0,1929538213.0,11956811526.0
THAILAND,63264525019.0,1.5637738411896445,9.66841760506856,144128671.0,600135101.0,1708186295.0,5875641822.0
SWITZERLAND,61019944937.0,0.5989298144685737,10.42336142578745,468160188.0,87150466.0,600814833.0,396982724.0
MALAYSIA,51681688075.0,0.6312567355125038,7.308716892370974,414491645.0,163651400.0,1364568186.0,1625919722.0
BRAZIL,42716082165.0,1.2986661437188947,10.085329720336256,2454600982.0,83760774.0,265794259.0,1205042977.0
SINGAPORE,42662779389.0,0.08027785927334721,9.504235369145842,633291248.0,9640054.0,472766906.0,340440157.0
INDONESIA,28137482235.0,4.839710581162452,10.572892834027229,215210226.0,120012260.0,154149783.0,1350934948.0
ISRAEL,22719409741.0,0.13428987965713365,8.352724061423933,424672643.0,82675181.0,535011366.0,127588611.0
