HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
21,4200.0,269.0,BHUTAN,5682,10.0,6.404761904761905
22,17649.0,0.0,BHUTAN,5682,10.0,0.0
39,2981.0,131.0,BHUTAN,5682,10.0,4.3944984904394495
40,891.0,24.0,BHUTAN,5682,10.0,2.6936026936026933
42,1600.0,0.0,BHUTAN,5682,10.0,0.0
48,3620.0,0.0,BHUTAN,5682,10.0,0.0
49,2465.0,0.0,BHUTAN,5682,10.0,0.0
51,1600.0,85.0,BHUTAN,5682,10.0,5.3125
62,982.0,118.0,BHUTAN,5682,10.0,12.016293279022404
64,27086.0,2709.0,BHUTAN,5682,10.0,10.00147677767112
69,2595.0,156.0,BHUTAN,5682,10.0,6.011560693641618
71,26071.0,0.0,BHUTAN,5682,10.0,0.0
72,3016304.0,36969.0,BHUTAN,5682,10.0,1.2256390602538736
83,2040.0,118.0,BHUTAN,5682,10.0,5.784313725490196
94,2500.0,18.0,BHUTAN,5682,10.0,0.72
97,85940.0,0.0,BHUTAN,5682,10.0,0.0
98,106225.0,0.0,BHUTAN,5682,10.0,0.0
99,16299.0,0.0,BHUTAN,5682,10.0,0.0
