HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
06,3702031.0,9782.0,ETHIOPIA,7749,10.0,0.26423333570140284
07,306112.0,3177.0,ETHIOPIA,7749,10.0,1.037855425465189
08,192499.0,43.0,ETHIOPIA,7749,10.0,0.0223377783780695
09,166673224.0,1610.0,ETHIOPIA,7749,10.0,0.0009659619951912613
10,188678.0,1023.0,ETHIOPIA,7749,10.0,0.542193578477618
11,557684.0,10303.0,ETHIOPIA,7749,10.0,1.8474620035719154
12,10699845.0,1706.0,ETHIOPIA,7749,10.0,0.015944156200393557
13,148983.0,2046.0,ETHIOPIA,7749,10.0,1.3733110489116207
15,707890.0,7593.0,ETHIOPIA,7749,10.0,1.0726242777832713
19,7564884.0,1211.0,ETHIOPIA,7749,10.0,0.016008176728156045
20,17579.0,3146.0,ETHIOPIA,7749,10.0,17.896353603731725
21,153941.0,2191.0,ETHIOPIA,7749,10.0,1.4232725524714014
22,255003.0,65.0,ETHIOPIA,7749,10.0,0.02548989619729964
23,23302579.0,6817.0,ETHIOPIA,7749,10.0,0.029254272670849006
25,5410.0,0.0,ETHIOPIA,7749,10.0,0.0
26,144728.0,0.0,ETHIOPIA,7749,10.0,0.0
30,9087.0,0.0,ETHIOPIA,7749,10.0,0.0
33,69943.0,0.0,ETHIOPIA,7749,10.0,0.0
39,289984.0,9760.0,ETHIOPIA,7749,10.0,3.365702935334363
42,3285831.0,345552.0,ETHIOPIA,7749,10.0,10.516426438243476
46,38355.0,0.0,ETHIOPIA,7749,10.0,0.0
48,14988.0,0.0,ETHIOPIA,7749,10.0,0.0
49,16471.0,0.0,ETHIOPIA,7749,10.0,0.0
51,21431.0,1286.0,ETHIOPIA,7749,10.0,6.000653259297279
52,24400.0,1586.0,ETHIOPIA,7749,10.0,6.5
53,900.0,0.0,ETHIOPIA,7749,10.0,0.0
57,2383.0,53.0,ETHIOPIA,7749,10.0,2.2240872849349556
58,47960.0,0.0,ETHIOPIA,7749,10.0,0.0
60,19983.0,2458.0,ETHIOPIA,7749,10.0,12.300455387079017
61,95156564.0,16048704.0,ETHIOPIA,7749,10.0,16.86557744981208
62,66442013.0,13301925.0,ETHIOPIA,7749,10.0,20.020352182887656
63,731912.0,38446.0,ETHIOPIA,7749,10.0,5.252817278579939
64,1262779.0,123961.0,ETHIOPIA,7749,10.0,9.816523714759274
65,768506.0,33748.0,ETHIOPIA,7749,10.0,4.3913775559332
68,5597.0,0.0,ETHIOPIA,7749,10.0,0.0
69,17539.0,25.0,ETHIOPIA,7749,10.0,0.14253948343691203
70,1967581.0,96278.0,ETHIOPIA,7749,10.0,4.893216594386711
71,1871856.0,6542.0,ETHIOPIA,7749,10.0,0.3494926960193519
73,4400.0,128.0,ETHIOPIA,7749,50.0,2.909090909090909
81,6009.0,901.0,ETHIOPIA,7749,10.0,14.994175403561325
84,68000.0,0.0,ETHIOPIA,7749,4.120882352941177,0.0
85,883076.0,19503.0,ETHIOPIA,7749,15.397864962925048,2.208530183132596
90,23825.0,0.0,ETHIOPIA,7749,10.0,0.0
92,11700.0,0.0,ETHIOPIA,7749,10.0,0.0
93,8500.0,264.0,ETHIOPIA,7749,10.0,3.1058823529411765
94,4133.0,20.0,ETHIOPIA,7749,10.0,0.48390999274135016
97,914925.0,0.0,ETHIOPIA,7749,10.0,0.0
98,74538287.0,0.0,ETHIOPIA,7749,10.0,0.0
99,4758993.0,0.0,ETHIOPIA,7749,10.0,0.0
