HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
42,350.0,62.0,GIBRALTAR,4720,10.0,17.71428571428571
49,2656.0,0.0,GIBRALTAR,4720,10.0,0.0
61,400.0,64.0,GIBRALTAR,4720,10.0,16.0
62,300.0,8.0,GIBRALTAR,4720,10.0,2.666666666666667
63,3343.0,170.0,GIBRALTAR,4720,10.0,5.0852527669757706
64,9840.0,854.0,GIBRALTAR,4720,10.0,8.678861788617887
84,18285.0,0.0,GIBRALTAR,4720,10.0,0.0
85,26330.0,89.0,GIBRALTAR,4720,11.86973034561337,0.33801747056589443
89,145268.0,2179.0,GIBRALTAR,4720,10.0,1.49998623234298
94,1735.0,0.0,GIBRALTAR,4720,10.0,0.0
97,3600.0,0.0,GIBRALTAR,4720,10.0,0.0
98,198243.0,0.0,GIBRALTAR,4720,10.0,0.0
99,20829.0,0.0,GIBRALTAR,4720,10.0,0.0
