HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
13,3818463.0,0.0,CHAD,7560,10.0,0.0
27,76437992.0,98315.0,CHAD,7560,10.0,0.12862059484765115
33,10933.0,0.0,CHAD,7560,10.0,0.0
40,249299.0,0.0,CHAD,7560,10.0,0.0
49,10000.0,0.0,CHAD,7560,10.0,0.0
61,0.0,0.0,CHAD,7560,,
62,2615.0,396.0,CHAD,7560,10.0,15.1434034416826
71,34430.0,570.0,CHAD,7560,10.0,1.6555329654371187
73,5000.0,145.0,CHAD,7560,10.0,2.9000000000000004
84,2883.0,0.0,CHAD,7560,10.0,0.0
85,0.0,0.0,CHAD,7560,,
94,1216.0,0.0,CHAD,7560,10.0,0.0
95,2775.0,136.0,CHAD,7560,10.0,4.900900900900901
97,8000.0,0.0,CHAD,7560,10.0,0.0
98,133235.0,0.0,CHAD,7560,10.0,0.0
99,22500.0,0.0,CHAD,7560,10.0,0.0
