HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
03,17536588.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
23,4550.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
25,22743.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
33,13439.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
34,15447.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
39,209577.0,7126.0,MARSHALL ISLANDS,6810,10.0,3.400182271909608
40,3476.0,87.0,MARSHALL ISLANDS,6810,25.0,2.5028768699654775
42,5300.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
46,34100.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
53,2400.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
56,20000.0,900.0,MARSHALL ISLANDS,6810,10.0,4.5
61,3069.0,451.0,MARSHALL ISLANDS,6810,10.0,14.695340501792115
62,1596.0,268.0,MARSHALL ISLANDS,6810,10.0,16.791979949874687
63,44000.0,266.0,MARSHALL ISLANDS,6810,10.0,0.6045454545454546
65,18218.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
68,45000.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
70,18004.0,1170.0,MARSHALL ISLANDS,6810,10.0,6.498555876471896
71,16950.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
73,54569.0,928.0,MARSHALL ISLANDS,6810,16.221114552218292,1.7005992413274935
75,8370.0,251.0,MARSHALL ISLANDS,6810,0.0,2.998805256869773
76,53128.0,6642.0,MARSHALL ISLANDS,6810,10.0,12.5018822466496
82,9570.0,534.0,MARSHALL ISLANDS,6810,10.0,5.579937304075235
83,146160.0,8331.0,MARSHALL ISLANDS,6810,10.0,5.69991789819376
84,23712.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
85,116427.0,1775.0,MARSHALL ISLANDS,6810,18.418021592929474,1.5245604541901792
89,8000.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
90,7140.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
94,113765.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
95,4300.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
96,36888.0,1881.0,MARSHALL ISLANDS,6810,10.0,5.099219258295381
98,481779.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
99,1368319.0,0.0,MARSHALL ISLANDS,6810,10.0,0.0
