HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
04,2940608.0,42963.0,CAMBODIA,5550,10.0,1.4610243867934793
05,29910355.0,22908.0,CAMBODIA,5550,10.0,0.07658886027932467
08,6099009.0,0.0,CAMBODIA,5550,10.0,0.0
09,55715.0,0.0,CAMBODIA,5550,10.0,0.0
10,3912990.0,10749.0,CAMBODIA,5550,10.0,0.27470042090575236
11,1717042.0,0.0,CAMBODIA,5550,10.0,0.0
17,1085846.0,25028.0,CAMBODIA,5550,10.0,2.304930901803755
19,298553.0,0.0,CAMBODIA,5550,10.0,0.0
20,1503602.0,135.0,CAMBODIA,5550,10.0,0.00897843977329107
21,1881425.0,92061.0,CAMBODIA,5550,10.0,4.893152796417609
23,88637083.0,0.0,CAMBODIA,5550,10.0,0.0
25,67412.0,0.0,CAMBODIA,5550,10.0,0.0
28,2304606.0,4479.0,CAMBODIA,5550,10.0,0.19434992358780634
29,4651935.0,5885.0,CAMBODIA,5550,10.0,0.1265064967588756
30,2778681.0,0.0,CAMBODIA,5550,10.0,0.0
32,1200033.0,26803.0,CAMBODIA,5550,10.0,2.233521911480768
33,11291352.0,13663.0,CAMBODIA,5550,10.0,0.1210041100481147
34,6254953.0,6789.0,CAMBODIA,5550,10.0,0.10853798581699974
35,98797.0,2074.0,CAMBODIA,5550,10.0,2.0992540259319616
36,2773549.0,60501.0,CAMBODIA,5550,10.0,2.1813568103538103
38,80743.0,982.0,CAMBODIA,5550,10.0,1.216204500699751
39,445563018.0,3986466.0,CAMBODIA,5550,10.0,0.8947030698135725
40,724735204.0,5372086.0,CAMBODIA,5550,24.542775660446598,0.741248109702699
41,4958.0,0.0,CAMBODIA,5550,10.0,0.0
42,1918989623.0,42215336.0,CAMBODIA,5550,10.0,2.19987307351896
43,885958.0,982.0,CAMBODIA,5550,10.0,0.11084046873553825
44,370646182.0,2279253.0,CAMBODIA,5550,9.290393742677214,0.6149403691955473
45,8379.0,0.0,CAMBODIA,5550,10.0,0.0
46,7310443.0,37043.0,CAMBODIA,5550,10.0,0.5067134782392804
48,106418105.0,0.0,CAMBODIA,5550,9.999771749365392,0.0
49,195095.0,0.0,CAMBODIA,5550,10.0,0.0
51,674.0,169.0,CAMBODIA,5550,10.0,25.07418397626113
52,1001757.0,70123.0,CAMBODIA,5550,10.0,7.000000998246082
53,64004.0,0.0,CAMBODIA,5550,10.0,0.0
54,545913.0,29012.0,CAMBODIA,5550,10.0,5.3143999135393365
55,959760.0,110572.0,CAMBODIA,5550,10.0,11.520796865883137
56,4331629.0,166043.0,CAMBODIA,5550,10.0,3.833269192721722
57,88327.0,5203.0,CAMBODIA,5550,10.0,5.890611024941411
58,2550499.0,127917.0,CAMBODIA,5550,10.0,5.015371501811998
59,21599434.0,895961.0,CAMBODIA,5550,10.0,4.148076287554573
60,1825136.0,181584.0,CAMBODIA,5550,10.0,9.949066809267912
61,2763572978.0,513333730.0,CAMBODIA,5550,10.0,18.57500178524325
62,1185663798.0,186494893.0,CAMBODIA,5550,10.0,15.72915469921432
63,133213372.0,6037875.0,CAMBODIA,5550,10.0,4.532484171333791
64,891256467.0,93381534.0,CAMBODIA,5550,10.0,10.477515446740652
65,45806362.0,3405394.0,CAMBODIA,5550,10.0,7.434325389123895
66,4395017.0,40515.0,CAMBODIA,5550,10.0,0.9218394377086596
67,4311782.0,36002.0,CAMBODIA,5550,10.0,0.8349680016290248
68,32652818.0,37246.0,CAMBODIA,5550,10.0,0.11406672465451527
69,68478.0,1267.0,CAMBODIA,5550,10.0,1.8502292707146821
70,1350019.0,35776.0,CAMBODIA,5550,10.0,2.650036777260172
71,42833422.0,3824.0,CAMBODIA,5550,10.0,0.008927607978648076
73,56378806.0,375935.0,CAMBODIA,5550,23.077842762402597,0.6668019893858697
74,37466.0,0.0,CAMBODIA,5550,10.0,0.0
76,22819138.0,537819.0,CAMBODIA,5550,41.70996029736092,2.356876933738689
79,235143.0,466.0,CAMBODIA,5550,0.0,0.19817727935766746
82,6607311.0,279594.0,CAMBODIA,5550,10.0,4.231585284845832
83,27763135.0,279748.0,CAMBODIA,5550,33.092547905703015,1.0076239588936913
84,42989919.0,320912.0,CAMBODIA,5550,19.85450542486484,0.7464819833691708
85,1664902970.0,13257478.0,CAMBODIA,5550,10.125732699605912,0.7962913298184578
86,20180.0,767.0,CAMBODIA,5550,10.0,3.8007928642220015
87,215460813.0,9046485.0,CAMBODIA,5550,10.448635548404804,4.198668367597778
90,23594089.0,315779.0,CAMBODIA,5550,10.0,1.338381829448893
91,303919.0,17870.0,CAMBODIA,5550,10.0,5.879856145880975
92,7120.0,378.0,CAMBODIA,5550,10.0,5.308988764044944
93,375208.0,4422.0,CAMBODIA,5550,10.0,1.1785462996524594
94,1344894788.0,13769023.0,CAMBODIA,5550,10.58937829715197,1.0237992683781596
95,355117500.0,264850.0,CAMBODIA,5550,10.479173794589116,0.07458094855927967
96,17092720.0,277853.0,CAMBODIA,5550,22.581686238351764,1.6255633977506214
97,337975.0,0.0,CAMBODIA,5550,10.0,0.0
98,30401918.0,0.0,CAMBODIA,5550,10.0,0.0
99,36825261.0,0.0,CAMBODIA,5550,10.0,0.0
