HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
03,2052.0,0.0,CABO VERDE,7643,10.0,0.0
09,11270.0,0.0,CABO VERDE,7643,10.0,0.0
11,25477.0,42.0,CABO VERDE,7643,10.0,0.1648545747144483
16,2144742.0,8691.0,CABO VERDE,7643,10.0,0.40522356535191645
19,353939.0,0.0,CABO VERDE,7643,10.0,0.0
20,57204.0,245.0,CABO VERDE,7643,10.0,0.4282917278511992
22,595803.0,0.0,CABO VERDE,7643,10.0,0.0
39,5094.0,200.0,CABO VERDE,7643,10.0,3.9261876717707103
46,15782.0,0.0,CABO VERDE,7643,10.0,0.0
61,432.0,64.0,CABO VERDE,7643,10.0,14.814814814814813
64,280.0,56.0,CABO VERDE,7643,10.0,20.0
68,3852.0,0.0,CABO VERDE,7643,10.0,0.0
70,5464.0,393.0,CABO VERDE,7643,10.0,7.192532942898976
73,32873.0,0.0,CABO VERDE,7643,50.0,0.0
84,419307.0,1090.0,CABO VERDE,7643,10.0,0.2599527315308354
85,31793.0,0.0,CABO VERDE,7643,10.0,0.0
90,5192.0,0.0,CABO VERDE,7643,50.0,0.0
94,54797.0,0.0,CABO VERDE,7643,10.0,0.0
98,275383.0,0.0,CABO VERDE,7643,10.0,0.0
99,50764.0,0.0,CABO VERDE,7643,10.0,0.0
