HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
03,7022079.0,0.0,GRENADA,2489,10.0,0.0
08,2859889.0,429.0,GRENADA,2489,10.0,0.015000582190427669
09,761675.0,166.0,GRENADA,2489,10.0,0.021794072274920407
12,16540.0,0.0,GRENADA,2489,10.0,0.0
13,71500.0,0.0,GRENADA,2489,10.0,0.0
20,7208.0,0.0,GRENADA,2489,10.0,0.0
22,7664.0,0.0,GRENADA,2489,10.0,0.0
29,2109.0,84.0,GRENADA,2489,10.0,3.982930298719772
39,3294.0,155.0,GRENADA,2489,10.0,4.705525197328476
40,28554.0,0.0,GRENADA,2489,10.0,0.0
42,11424.0,1104.0,GRENADA,2489,10.0,9.663865546218489
62,5984.0,843.0,GRENADA,2489,10.0,14.087566844919785
66,1435.0,118.0,GRENADA,2489,10.0,8.222996515679442
71,443719.0,179.0,GRENADA,2489,10.0,0.04034084634644899
72,27284.0,0.0,GRENADA,2489,8.965327664565313,0.0
74,1090055.0,0.0,GRENADA,2489,10.0,0.0
76,182786.0,0.0,GRENADA,2489,10.0,0.0
78,238795.0,0.0,GRENADA,2489,10.0,0.0
84,36457.0,358.0,GRENADA,2489,11.732177633924898,0.981978769509285
85,75389.0,1879.0,GRENADA,2489,9.44567509848917,2.4924060539335975
90,41294.0,35.0,GRENADA,2489,10.0,0.08475807623383542
94,400.0,0.0,GRENADA,2489,10.0,0.0
97,61723.0,0.0,GRENADA,2489,10.0,0.0
98,235327.0,0.0,GRENADA,2489,10.0,0.0
99,737664.0,0.0,GRENADA,2489,10.0,0.0
