HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
01,219541.0,0.0,GUYANA,3120,10.0,0.0
03,19056868.0,0.0,GUYANA,3120,10.0,0.0
04,2175.0,4.0,GUYANA,3120,10.0,0.1839080459770115
07,47785.0,525.0,GUYANA,3120,10.0,1.0986711311080883
08,471390.0,0.0,GUYANA,3120,10.0,0.0
09,401041.0,0.0,GUYANA,3120,10.0,0.0
10,28200.0,0.0,GUYANA,3120,10.0,0.0
11,17920.0,45.0,GUYANA,3120,10.0,0.25111607142857145
13,12000.0,0.0,GUYANA,3120,10.0,0.0
15,271189.0,0.0,GUYANA,3120,10.0,0.0
17,14822467.0,0.0,GUYANA,3120,10.0,0.0
19,1784412.0,0.0,GUYANA,3120,10.0,0.0
20,402534.0,0.0,GUYANA,3120,10.0,0.0
21,663420.0,1420.0,GUYANA,3120,10.0,0.21404238642187454
22,7588903.0,19.0,GUYANA,3120,10.0,0.0002503655666701762
25,37318671.0,0.0,GUYANA,3120,10.0,0.0
26,39707852.0,0.0,GUYANA,3120,10.0,0.0
27,4879045067.0,5435546.0,GUYANA,3120,9.376349921303156,0.11140593959182628
28,731034.0,329.0,GUYANA,3120,10.0,0.04500474670124782
29,116326004.0,0.0,GUYANA,3120,10.0,0.0
33,79407.0,0.0,GUYANA,3120,10.0,0.0
38,149781.0,9736.0,GUYANA,3120,10.0,6.500156895734439
39,80707.0,2257.0,GUYANA,3120,10.0,2.796535616489276
40,829.0,21.0,GUYANA,3120,10.0,2.5331724969843186
42,3632.0,297.0,GUYANA,3120,10.0,8.177312775330396
44,7367169.0,0.0,GUYANA,3120,10.0,0.0
48,17285.0,0.0,GUYANA,3120,10.0,0.0
49,2333.0,0.0,GUYANA,3120,10.0,0.0
61,0.0,0.0,GUYANA,3120,,
62,435.0,30.0,GUYANA,3120,10.0,6.896551724137931
71,16614325.0,0.0,GUYANA,3120,10.0,0.0
72,5529.0,0.0,GUYANA,3120,0.0,0.0
73,337662.0,9253.0,GUYANA,3120,10.0,2.7403142787758172
74,623603.0,0.0,GUYANA,3120,10.0,0.0
76,15257.0,130.0,GUYANA,3120,37.46280395883856,0.8520679032575211
84,1856553.0,27763.0,GUYANA,3120,32.51637847128523,1.4954057330978432
85,178731.0,451.0,GUYANA,3120,8.530920769200643,0.2523345138783983
86,38120.0,0.0,GUYANA,3120,10.0,0.0
88,302108.0,0.0,GUYANA,3120,10.0,0.0
90,537869.0,1536.0,GUYANA,3120,10.0,0.2855713937780389
94,48008.0,16.0,GUYANA,3120,10.0,0.03332777870354941
95,57704.0,0.0,GUYANA,3120,10.0,0.0
97,43536.0,0.0,GUYANA,3120,10.0,0.0
98,71542087.0,0.0,GUYANA,3120,10.0,0.0
99,1121890.0,0.0,GUYANA,3120,10.0,0.0
