HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
01,689005.0,0.0,SERBIA,4801,35.0,0.0
04,275459.0,2604.0,SERBIA,4801,35.0,0.945331247118446
05,346187.0,0.0,SERBIA,4801,35.0,0.0
07,4865952.0,77929.0,SERBIA,4801,35.0,1.6015160034459857
08,29464466.0,148020.0,SERBIA,4801,35.0,0.5023678352086883
09,618582.0,0.0,SERBIA,4801,35.0,0.0
10,15541.0,820.0,SERBIA,4801,35.0,5.2763657422302295
11,121515.0,1219.0,SERBIA,4801,35.0,1.0031683331275976
12,1121176.0,8009.0,SERBIA,4801,35.0,0.7143392295232862
13,54800.0,0.0,SERBIA,4801,35.0,0.0
15,753126.0,60058.0,SERBIA,4801,35.0,7.974495635524467
16,13563.0,0.0,SERBIA,4801,35.0,0.0
17,60971.0,3842.0,SERBIA,4801,35.0,6.3013563825425205
18,9608587.0,788705.0,SERBIA,4801,35.0,8.208334898773357
19,3414378.0,52400.0,SERBIA,4801,35.0,1.534686551986921
20,7853835.0,66545.0,SERBIA,4801,35.0,0.8472930740205263
21,7724095.0,89906.0,SERBIA,4801,35.0,1.1639680765189966
22,2324262.0,3006.0,SERBIA,4801,35.0,0.12933137486221433
23,29461823.0,0.0,SERBIA,4801,35.0,0.0
24,0.0,0.0,SERBIA,4801,,
25,21206.0,0.0,SERBIA,4801,35.0,0.0
27,18485435.0,0.0,SERBIA,4801,35.0,0.0
28,46001.0,0.0,SERBIA,4801,35.0,0.0
29,1016576.0,4065.0,SERBIA,4801,35.0,0.39987172626542433
30,12866.0,0.0,SERBIA,4801,35.0,0.0
32,9864.0,365.0,SERBIA,4801,35.0,3.700324412003244
33,299363.0,557.0,SERBIA,4801,35.0,0.18606173775650298
34,332501.0,8967.0,SERBIA,4801,35.0,2.6968339944842272
35,4075.0,86.0,SERBIA,4801,35.0,2.110429447852761
36,2694499.0,37306.0,SERBIA,4801,35.0,1.3845245442659284
38,1801794.0,85511.0,SERBIA,4801,35.0,4.745881049664945
39,11134696.0,83009.0,SERBIA,4801,35.0,0.7454985749049637
40,178856215.0,525151.0,SERBIA,4801,25.774134630993952,0.2936162995510108
42,56102.0,8151.0,SERBIA,4801,35.0,14.528893800577519
44,1420072.0,12069.0,SERBIA,4801,35.0,0.8498864846289484
48,2841907.0,0.0,SERBIA,4801,35.0,0.0
49,874289.0,0.0,SERBIA,4801,35.0,0.0
51,2623.0,157.0,SERBIA,4801,35.0,5.985512771635531
52,116676.0,409.0,SERBIA,4801,35.0,0.35054338510062055
53,2880.0,0.0,SERBIA,4801,35.0,0.0
54,1793.0,152.0,SERBIA,4801,35.0,8.477412158393753
55,467734.0,35079.0,SERBIA,4801,35.0,7.49977551343285
56,707545.0,40716.0,SERBIA,4801,35.0,5.754545647273318
57,6529.0,295.0,SERBIA,4801,35.0,4.518302956042273
58,2300.0,76.0,SERBIA,4801,35.0,3.304347826086956
59,1315058.0,43451.0,SERBIA,4801,35.0,3.3041128224002283
60,3177.0,546.0,SERBIA,4801,35.0,17.186024551463642
61,3895186.0,814580.0,SERBIA,4801,35.0,20.91248017424585
62,4032911.0,619738.0,SERBIA,4801,35.0,15.367014050148885
63,1495894.0,101000.0,SERBIA,4801,35.0,6.751815302421161
64,2717492.0,257124.0,SERBIA,4801,35.0,9.461812583072922
65,50350.0,3479.0,SERBIA,4801,35.0,6.909632571996028
66,1300.0,78.0,SERBIA,4801,39.973076923076924,6.0
68,3556914.0,0.0,SERBIA,4801,35.0,0.0
69,111427.0,6693.0,SERBIA,4801,35.0,6.006623170326761
70,14893233.0,1001605.0,SERBIA,4801,35.0,6.725235548252015
71,1384255.0,119726.0,SERBIA,4801,35.0,8.649128953841597
72,2604608.0,0.0,SERBIA,4801,35.0,0.0
73,12009026.0,128937.0,SERBIA,4801,48.238392522424384,1.0736674231532182
74,16725887.0,46223.0,SERBIA,4801,16.621036002455355,0.27635604616962917
75,8415.0,252.0,SERBIA,4801,0.0,2.9946524064171123
76,8246790.0,67336.0,SERBIA,4801,49.95238510984274,0.8165116366489265
78,9104.0,182.0,SERBIA,4801,35.0,1.999121265377856
79,180593.0,5416.0,SERBIA,4801,3.385402534981976,2.9990088209399035
81,909414.0,37767.0,SERBIA,4801,35.0,4.152894061450561
82,1089656.0,29813.0,SERBIA,4801,35.0,2.736001086581453
83,5485914.0,161283.0,SERBIA,4801,30.122128236060572,2.939947655030684
84,128954778.0,401498.0,SERBIA,4801,34.95570660437258,0.3113479052323288
85,101316381.0,2357437.0,SERBIA,4801,32.12935512372871,2.3268073501362037
86,140391.0,5054.0,SERBIA,4801,35.0,3.5999458654757075
87,24450714.0,607769.0,SERBIA,4801,27.29065376168565,2.485690192932607
88,140729.0,115.0,SERBIA,4801,47.67499946706081,0.08171734326258269
89,2486898.0,25968.0,SERBIA,4801,35.0,1.044192403548517
90,20848802.0,96437.0,SERBIA,4801,34.99449176983886,0.4625541553898396
91,11002.0,198.0,SERBIA,4801,35.0,1.7996727867660427
92,1176232.0,49932.0,SERBIA,4801,35.0,4.2450809024070075
93,79741752.0,94688.0,SERBIA,4801,35.0,0.11874331529610736
94,10942170.0,49506.0,SERBIA,4801,35.026009009181905,0.45243310970310274
95,3966048.0,27455.0,SERBIA,4801,35.08875081693414,0.6922508250026222
96,15452.0,0.0,SERBIA,4801,38.133574941755114,0.0
97,457609.0,0.0,SERBIA,4801,35.0,0.0
98,6318516.0,0.0,SERBIA,4801,35.0,0.0
99,9242012.0,0.0,SERBIA,4801,35.0,0.0
