HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
07,269490.0,0.0,SAMOA,6150,10.0,0.0
08,114967.0,16670.0,SAMOA,6150,10.0,14.499812989814467
12,42750.0,0.0,SAMOA,6150,10.0,0.0
15,3408378.0,0.0,SAMOA,6150,10.0,0.0
18,6252.0,0.0,SAMOA,6150,10.0,0.0
20,28000.0,0.0,SAMOA,6150,10.0,0.0
23,225000.0,0.0,SAMOA,6150,10.0,0.0
39,145452.0,7709.0,SAMOA,6150,10.0,5.300030250529384
40,1638.0,44.0,SAMOA,6150,10.0,2.6862026862026864
46,5400.0,0.0,SAMOA,6150,10.0,0.0
48,3846.0,0.0,SAMOA,6150,10.0,0.0
49,42656.0,0.0,SAMOA,6150,10.0,0.0
61,6020.0,461.0,SAMOA,6150,10.0,7.657807308970099
62,7733.0,798.0,SAMOA,6150,10.0,10.319410319410318
64,1026.0,103.0,SAMOA,6150,10.0,10.038986354775828
71,1072586.0,0.0,SAMOA,6150,10.0,0.0
74,7762.0,0.0,SAMOA,6150,10.0,0.0
82,2639.0,0.0,SAMOA,6150,10.0,0.0
84,26491.0,0.0,SAMOA,6150,17.8362462723189,0.0
87,22911.0,0.0,SAMOA,6150,10.0,0.0
92,16290.0,880.0,SAMOA,6150,10.0,5.402087170042972
94,55049.0,0.0,SAMOA,6150,11.453250740249596,0.0
97,20895.0,0.0,SAMOA,6150,10.0,0.0
98,94230.0,0.0,SAMOA,6150,10.0,0.0
99,90213.0,0.0,SAMOA,6150,10.0,0.0
