HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
05,54360.0,0.0,LAOS,5530,40.0,0.0
09,184336.0,0.0,LAOS,5530,40.0,0.0
10,140911.0,1934.0,LAOS,5530,40.0,1.3724975339043795
12,21864.0,0.0,LAOS,5530,40.0,0.0
13,12968.0,0.0,LAOS,5530,40.0,0.0
19,3171.0,0.0,LAOS,5530,40.0,0.0
22,161842.0,0.0,LAOS,5530,40.0,0.0
24,0.0,0.0,LAOS,5530,,
25,23643507.0,0.0,LAOS,5530,0.0,0.0
28,18195992.0,964387.0,LAOS,5530,40.0,5.299996834467723
31,15910.0,0.0,LAOS,5530,40.0,0.0
33,705531.0,34357.0,LAOS,5530,40.0,4.869665542690541
39,1843382.0,92113.0,LAOS,5530,40.0,4.996956680709696
40,955180.0,4133.0,LAOS,5530,40.0,0.43269331434912794
42,109675.0,11541.0,LAOS,5530,40.0,10.522908593571916
44,565997.0,39525.0,LAOS,5530,40.0,6.983252561409337
46,3825.0,0.0,LAOS,5530,40.0,0.0
48,163562.0,0.0,LAOS,5530,40.0,0.0
49,7500.0,0.0,LAOS,5530,40.0,0.0
50,101098.0,8.0,LAOS,5530,40.0,0.007913114008190074
51,18140.0,1253.0,LAOS,5530,40.0,6.907386990077177
52,91150.0,6947.0,LAOS,5530,40.0,7.621503017004937
53,61330.0,0.0,LAOS,5530,40.0,0.0
55,480.0,58.0,LAOS,5530,40.0,12.083333333333334
56,12398.0,620.0,LAOS,5530,40.0,5.000806581706727
57,1000.0,0.0,LAOS,5530,40.0,0.0
61,19342096.0,3664589.0,LAOS,5530,40.0,18.94618349531509
62,3411154.0,534082.0,LAOS,5530,40.0,15.656930176708528
63,1756761.0,124834.0,LAOS,5530,40.0,7.105918221089835
64,22459917.0,1450329.0,LAOS,5530,40.0,6.457410327918843
65,29011184.0,2172903.0,LAOS,5530,40.0,7.48988045437925
67,1953065.0,24823.0,LAOS,5530,40.0,1.2709766444025161
69,7575.0,758.0,LAOS,5530,40.0,10.006600660066006
71,5625946.0,176249.0,LAOS,5530,40.0,3.1327886901154045
73,15837.0,3959.0,LAOS,5530,40.0,24.998421418197893
74,6346.0,190.0,LAOS,5530,50.0,2.9940119760479043
76,7315.0,417.0,LAOS,5530,50.0,5.700615174299385
81,30120.0,0.0,LAOS,5530,40.0,0.0
84,1994945.0,3451.0,LAOS,5530,4.031685084049936,0.17298722521172263
85,450357772.0,26718438.0,LAOS,5530,35.23780659879453,5.932713869096946
87,74200.0,2374.0,LAOS,5530,40.0,3.1994609164420487
90,141046483.0,3075699.0,LAOS,5530,40.0,2.1806279281703183
94,74599047.0,2209543.0,LAOS,5530,40.0,2.961891724970696
95,5184912.0,0.0,LAOS,5530,40.0,0.0
96,17603.0,0.0,LAOS,5530,40.0,0.0
97,22538.0,0.0,LAOS,5530,40.0,0.0
98,291754.0,0.0,LAOS,5530,40.0,0.0
99,4217256.0,0.0,LAOS,5530,40.0,0.0
