HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
04,66251.0,5992.0,SYRIA,5020,10.0,9.044391782765542
07,85386.0,6665.0,SYRIA,5020,10.0,7.805729276462184
08,88546.0,875.0,SYRIA,5020,10.0,0.9881869310866669
09,2442403.0,3393.0,SYRIA,5020,10.0,0.1389205630684207
12,47790.0,189.0,SYRIA,5020,10.0,0.39548022598870053
13,6750.0,257.0,SYRIA,5020,10.0,3.8074074074074074
15,171789.0,1784.0,SYRIA,5020,10.0,1.038483255621722
17,151511.0,8877.0,SYRIA,5020,10.0,5.858980536066688
18,34598.0,2077.0,SYRIA,5020,10.0,6.003237181339962
19,273260.0,1500.0,SYRIA,5020,10.0,0.5489277611066384
20,894050.0,64061.0,SYRIA,5020,10.0,7.1652592136905096
21,331339.0,24868.0,SYRIA,5020,10.0,7.5053042352394375
22,37908.0,4.0,SYRIA,5020,10.0,0.010551862403714255
34,16823.0,0.0,SYRIA,5020,10.0,0.0
39,8470.0,289.0,SYRIA,5020,10.0,3.412042502951594
42,1148.0,202.0,SYRIA,5020,10.0,17.59581881533101
43,486.0,19.0,SYRIA,5020,10.0,3.909465020576132
44,21687.0,548.0,SYRIA,5020,7.579194909392724,2.5268594088624523
46,4140.0,95.0,SYRIA,5020,10.0,2.2946859903381642
48,8091.0,0.0,SYRIA,5020,10.0,0.0
49,15202.0,0.0,SYRIA,5020,10.0,0.0
57,876.0,29.0,SYRIA,5020,10.0,3.3105022831050226
61,9675.0,1093.0,SYRIA,5020,10.0,11.297157622739018
62,4756.0,604.0,SYRIA,5020,10.0,12.699747687132042
63,7561.0,570.0,SYRIA,5020,10.0,7.538685359079487
65,375.0,55.0,SYRIA,5020,10.0,14.666666666666666
68,1001001.0,48030.0,SYRIA,5020,10.0,4.798197004798197
70,12089.0,871.0,SYRIA,5020,10.0,7.204897013814211
73,39780.0,1192.0,SYRIA,5020,37.93363499245852,2.996480643539467
74,3863.0,115.0,SYRIA,5020,10.0,2.976960911208905
76,2560.0,79.0,SYRIA,5020,50.0,3.0859375
84,124200.0,0.0,SYRIA,5020,10.0,0.0
85,18748.0,238.0,SYRIA,5020,10.0,1.2694687433326222
87,2300.0,74.0,SYRIA,5020,10.0,3.217391304347826
90,42802.0,0.0,SYRIA,5020,10.0,0.0
92,15708.0,731.0,SYRIA,5020,10.0,4.653679653679654
94,42889.0,295.0,SYRIA,5020,10.0,0.687822052274476
95,2160.0,0.0,SYRIA,5020,10.0,0.0
97,3857802.0,0.0,SYRIA,5020,10.0,0.0
98,192764.0,0.0,SYRIA,5020,10.0,0.0
99,585513.0,0.0,SYRIA,5020,10.0,0.0
