HTSUS,category
85229058,aircraft
85229065,aircraft
85229080,aircraft
85261000,aircraft
85269100,aircraft
85269210,aircraft
85269250,aircraft
85284200,aircraft
85285200,aircraft
85286200,aircraft
85291021,aircraft
85291040,aircraft
85291091,aircraft
85299004,aircraft
85299005,aircraft
85299006,aircraft
85299009,aircraft
85299013,aircraft
85299016,aircraft
85299019,aircraft
85299021,aircraft
85299024,aircraft
85299029,aircraft
85299033,aircraft
85299036,aircraft
85299039,aircraft
85299043,aircraft
85299046,aircraft
85299049,aircraft
85299055,aircraft
85299063,aircraft
85299068,aircraft
85299073,aircraft
85299077,aircraft
85299078,aircraft
85299081,aircraft
85299083,aircraft
85299087,aircraft
85299088,aircraft
85299089,aircraft
85299093,aircraft
85299095,aircraft
85299097,aircraft
85299098,aircraft
85311000,aircraft
85312000,aircraft
85318015,aircraft
85318090,aircraft
85367000,aircraft
85391000,aircraft
85395100,aircraft
85437042,aircraft
85437045,aircraft
85437060,aircraft
85437080,aircraft
85437091,aircraft
85437095,aircraft
85439012,aircraft
85439015,aircraft
85439035,aircraft
85439065,aircraft
85439068,aircraft
85439085,aircraft
85439088,aircraft
85443000,aircraft
88010000,aircraft
88021101,aircraft
88021201,aircraft
88022001,aircraft
88023001,aircraft
88024001,aircraft
88052900,aircraft
88071000,aircraft
88072000,aircraft
88073000,aircraft
88079090,aircraft
90019040,aircraft
90019050,aircraft
90019060,aircraft
90019080,aircraft
90019090,aircraft
90029020,aircraft
90029040,aircraft
90029070,aircraft
90029085,aircraft
90029095,aircraft
90141010,aircraft
90141060,aircraft
90141070,aircraft
90141090,aircraft
90142020,aircraft
90142040,aircraft
90142060,aircraft
90142080,aircraft
90149010,aircraft
90149020,aircraft
90149040,aircraft
90149060,aircraft
90200040,aircraft
90200060,aircraft
90251120,aircraft
90251140,aircraft
90251940,aircraft
90251980,aircraft
90258010,aircraft
90258015,aircraft
90258020,aircraft
90258035,aircraft
90258040,aircraft
90258050,aircraft
90259006,aircraft
90261020,aircraft
90261040,aircraft
90261060,aircraft
90262040,aircraft
90262080,aircraft
90268020,aircraft
90268040,aircraft
90268060,aircraft
90269020,aircraft
90269040,aircraft
90269060,aircraft
90291080,aircraft
90292040,aircraft
90299080,aircraft
90301000,aircraft
90302005,aircraft
90302010,aircraft
90303100,aircraft
90303200,aircraft
90303334,aircraft
90303338,aircraft
90303901,aircraft
90304000,aircraft
90308400,aircraft
90308901,aircraft
90309025,aircraft
90309046,aircraft
90309066,aircraft
90309068,aircraft
90309084,aircraft
90309089,aircraft
90318040,aircraft
90318080,aircraft
90319021,aircraft
90319045,aircraft
90319054,aircraft
90319059,aircraft
90319070,aircraft
90319091,aircraft
90321000,aircraft
90322000,aircraft
90328100,aircraft
90328920,aircraft
90328940,aircraft
90328960,aircraft
90329021,aircraft
90329041,aircraft
90329061,aircraft
90330090,aircraft
91040005,aircraft
91040010,aircraft
91040020,aircraft
91040025,aircraft
91040030,aircraft
91040040,aircraft
91040045,aircraft
91040050,aircraft
91040060,aircraft
91091050,aircraft
91091060,aircraft
91099020,aircraft
94011040,aircraft
94011080,aircraft
94032000,aircraft
94037040,aircraft
94037080,aircraft
94051140,aircraft
94051160,aircraft
94051180,aircraft
94051940,aircraft
94051960,aircraft
94051980,aircraft
94056120,aircraft
94056140,aircraft
94056160,aircraft
94056920,aircraft
94056940,aircraft
94056960,aircraft
94059200,aircraft
94059920,aircraft
94059940,aircraft
96200050,aircraft
96200060,aircraft
98020040,aircraft
98020050,aircraft
98020060,aircraft
98020080,aircraft
98180005,aircraft
98180007,aircraft
