HTSUS,category
84717090,flat
07149048,flat
20091100,flat
28111910,flat
30024200,flat
47062000,flat
84718010,flat
07149061,flat
20091225,flat
28112910,flat
30024900,flat
47063000,flat
84718040,flat
08011100,flat
20091245,flat
28112920,flat
30025100,flat
47069100,flat
84718090,flat
08011200,flat
20091900,flat
28121900,flat
30025900,flat
47069201,flat
84719000,flat
08011901,flat
20093920,flat
28139010,flat
30029010,flat
47069301,flat
84733011,flat
08012100,flat
20094940,flat
28152000,flat
30029052,flat
56072100,flat
84733020,flat
08012200,flat
21011121,flat
28161000,flat
30031000,flat
63090000,flat
84733051,flat
08013100,flat
21011129,flat
28164010,flat
30032000,flat
68029900,flat
84733091,flat
08013200,flat
21011290,flat
28164020,flat
30033910,flat
71031020,flat
84861000,flat
08024100,flat
21012020,flat
28170000,flat
30033950,flat
71031040,flat
84862000,flat
08024200,flat
21069048,flat
28181010,flat
30034100,flat
71069110,flat
84863000,flat
08026100,flat
22029930,flat
28181020,flat
30034200,flat
71081100,flat
84864000,flat
08026200,flat
22029935,flat
28182000,flat
30034900,flat
71081210,flat
84869000,flat
08027010,flat
25041010,flat
28183000,flat
30039001,flat
71081250,flat
8505110070,flat
08027020,flat
25041050,flat
28201000,flat
30041010,flat
71081310,flat
85171300,flat
08028010,flat
25049000,flat
28211000,flat
30041050,flat
71081355,flat
85176200,flat
08028020,flat
25070000,flat
28212000,flat
30042000,flat
71081370,flat
85235100,flat
08029110,flat
25101000,flat
28220000,flat
30043100,flat
71082000,flat
85241110,flat
08029190,flat
25102000,flat
28230000,flat
30043200,flat
71101100,flat
85241190,flat
08029210,flat
25111010,flat
28252000,flat
30043900,flat
71101900,flat
85241200,flat
08029290,flat
25111050,flat
28253000,flat
30044100,flat
71102100,flat
85241900,flat
08031010,flat
25191000,flat
28254000,flat
30044200,flat
71102900,flat
85249110,flat
08031020,flat
25199010,flat
28255030,flat
30044900,flat
71103100,flat
85249190,flat
08039000,flat
25199020,flat
28256000,flat
30045010,flat
71103900,flat
85249200,flat
08043020,flat
25249000,flat
28258000,flat
30045020,flat
71104100,flat
85249900,flat
08043040,flat
25251000,flat
28259015,flat
30045030,flat
71104900,flat
85285200,flat
08043060,flat
25292100,flat
28259020,flat
30045040,flat
71123001,flat
8537109170,flat
08044000,flat
25292200,flat
28259030,flat
30045050,flat
71129201,flat
85411000,flat
08045040,flat
25302010,flat
28259090,flat
30046000,flat
71159005,flat
85412100,flat
08045060,flat
25302020,flat
28261200,flat
30049010,flat
71159030,flat
85412900,flat
08045080,flat
25309010,flat
28263000,flat
30049092,flat
71189000,flat
85413000,flat
08051000,flat
25309020,flat
28269090,flat
30063010,flat
72011000,flat
85414100,flat
08055030,flat
25309080,flat
28273100,flat
30063050,flat
72012000,flat
85414910,flat
08055040,flat
26011100,flat
28273925,flat
30066000,flat
72015030,flat
85414970,flat
08072000,flat
26011200,flat
28273945,flat
30069310,flat
72015060,flat
85414980,flat
08084020,flat
26020000,flat
28273960,flat
30069320,flat
72021110,flat
85414995,flat
08084040,flat
26030000,flat
28273990,flat
30069350,flat
72021150,flat
85415100,flat
08105000,flat
26040000,flat
28274100,flat
30069360,flat
72021910,flat
85415900,flat
08106000,flat
26050000,flat
28274950,flat
31010000,flat
72021950,flat
85419000,flat
08109027,flat
26060000,flat
28275951,flat
31021000,flat
72023000,flat
85423100,flat
08109046,flat
26080000,flat
28276010,flat
31022100,flat
72024100,flat
85423200,flat
08119010,flat
26090000,flat
28276051,flat
31022900,flat
72024910,flat
85423300,flat
08119025,flat
26100000,flat
28332100,flat
31023000,flat
72024950,flat
85423900,flat
08119030,flat
26110030,flat
28332400,flat
31024000,flat
72025000,flat
85429000,flat
08119040,flat
26110060,flat
28332500,flat
31025000,flat
72026000,flat
97012100,flat
08119050,flat
26121000,flat
28332700,flat
31026000,flat
72028000,flat
97012200,flat
08119052,flat
26122000,flat
28332910,flat
31028000,flat
72029100,flat
97012900,flat
08129040,flat
26139000,flat
28332945,flat
31029001,flat
72029340,flat
97019100,flat
09011100,flat
26140030,flat
28332951,flat
31031100,flat
72029380,flat
97019200,flat
09011200,flat
26140060,flat
28342100,flat
31031900,flat
72029920,flat
97019900,flat
09012100,flat
26159030,flat
28342920,flat
31039001,flat
72031000,flat
97021000,flat
09012200,flat
26159060,flat
28342951,flat
31042000,flat
72039000,flat
97029000,flat
09019010,flat
26161000,flat
28366000,flat
31043000,flat
72042100,flat
97031000,flat
09019020,flat
26171000,flat
28369100,flat
31049001,flat
72043000,flat
97039000,flat
09021010,flat
26203000,flat
28369200,flat
31051000,flat
72044100,flat
97040000,flat
09021090,flat
26209950,flat
28369910,flat
31052000,flat
73141901,flat
97051000,flat
09022010,flat
27011100,flat
28369950,flat
31053000,flat
74010000,flat
97052100,flat
09022090,flat
27011200,flat
28391900,flat
31054000,flat
74020000,flat
97052200,flat
09023000,flat
27011900,flat
28418000,flat
31055100,flat
74031100,flat
97052900,flat
09024000,flat
27012000,flat
28419020,flat
31055900,flat
74031200,flat
97053100,flat
09030000,flat
27021000,flat
28441010,flat
31056000,flat
74031300,flat
97053900,flat
09041100,flat
27022000,flat
28441020,flat
31059000,flat
74031900,flat
97061000,flat
09041200,flat
27030000,flat
28442000,flat
32041720,flat
74032100,flat
97069000,flat
09042120,flat
27040000,flat
28443020,flat
32061100,flat
74032200,flat
09042140,flat
27050000,flat
28443050,flat
32061900,flat
74032901,flat
09042160,flat
27060000,flat
28461000,flat
33011200,flat
74040030,flat
09042180,flat
27071000,flat
28469020,flat
33019050,flat
74040060,flat
09042220,flat
27072000,flat
28469040,flat
36069030,flat
74050010,flat
09042240,flat
27073000,flat
28469080,flat
38180000,flat
74050060,flat
08059001,named
08119080,named
14049090,named
19059010,named
19059090,named
20089921,named
20093160,named
20098970,named
20099040,named
21069099,named
33012951,named
39172100,aircraft
76081000,aircraft
84212900,aircraft
85023900,aircraft
85299055,aircraft
90258050,aircraft
39172200,aircraft
76082000,aircraft
84213100,aircraft
85024000,aircraft
85299063,aircraft
90259006,aircraft
39172300,aircraft
83021060,aircraft
84213200,aircraft
85041000,aircraft
85299068,aircraft
90261020,aircraft
39172900,aircraft
83021090,aircraft
84213901,aircraft
85043120,aircraft
85299073,aircraft
90261040,aircraft
39173100,aircraft
83022000,aircraft
84241000,aircraft
85043140,aircraft
85299077,aircraft
90261060,aircraft
39173300,aircraft
83024230,aircraft
84251100,aircraft
85043160,aircraft
85299078,aircraft
90262040,aircraft
39173900,aircraft
83024260,aircraft
84251900,aircraft
85043200,aircraft
85299081,aircraft
90262080,aircraft
39174000,aircraft
83024940,aircraft
84253101,aircraft
85043300,aircraft
85299083,aircraft
90268020,aircraft
39269045,aircraft
83024960,aircraft
84253901,aircraft
85044040,aircraft
85299087,aircraft
90268040,aircraft
39269094,aircraft
83024980,aircraft
84254200,aircraft
85044060,aircraft
85299088,aircraft
90268060,aircraft
39269096,aircraft
83026030,aircraft
84254900,aircraft
85044070,aircraft
85299089,aircraft
90269020,aircraft
39269099,aircraft
83071030,aircraft
84269900,aircraft
85044085,aircraft
85299093,aircraft
90269040,aircraft
40082920,aircraft
83079030,aircraft
84281000,aircraft
85044095,aircraft
85299095,aircraft
90269060,aircraft
40091200,aircraft
84071000,aircraft
84282000,aircraft
85045040,aircraft
85299097,aircraft
90291080,aircraft
40092200,aircraft
84089090,aircraft
84283300,aircraft
85045080,aircraft
85299098,aircraft
90292040,aircraft
40093200,aircraft
84091000,aircraft
84283900,aircraft
85071000,aircraft
85311000,aircraft
90299080,aircraft
40094200,aircraft
84111140,aircraft
